address,price,lot_sqft,Zoning,sqft_per_unit,max_units,price_per_unit
20218  San Gabriel Valley Dr.,1060000,28326.0,Outside LA (No Zoning),0.0,,
1387  Casiano,1999999,0.65,RE20-1-H-HCR,20000.0,3.2500000000000004e-05,61538430769.0
2179  Mandeville Canyon Road,9450000,28314.0,RE40-1-H,40000.0,0.70785,13350286.0
1278  Inspiration,2580000,28237.0,Outside LA (No Zoning),0.0,,
591  Devonwood,1748000,28194.0,Outside LA (No Zoning),0.0,,
1238  Fernwood Pacific Drive,2295000,28133.0,Outside LA (No Zoning),0.0,,
930  Fallen Leaf Road,9600000,28014.0,Outside LA (No Zoning),0.0,,
9301  Cherokee Lane,11995000,27995.0,RE15-1-H-HCR,15000.0,1.8663333333333334,6427041.0
3646  Sunswept Drive,3495000,27949.0,RE15-1-H,15000.0,1.8632666666666666,1875738.0
524 S Rancho Simi Drive,1459000,27925.0,Outside LA (No Zoning),0.0,,
15009  Los Lotes Avenue,2290000,27922.0,Outside LA (No Zoning),0.0,,
1601  Casale Road,49950000,27888.0,Outside LA (No Zoning),0.0,,
4072  Alonzo Avenue,5850000,27880.0,RA-1,17500.0,1.5931428571428572,3671987.0
2935  Vista del Mar,13999999,27878.0,Outside LA (No Zoning),0.0,,
2220  Banyan Drive,6250000,27835.0,RE15-1-H,15000.0,1.8556666666666666,3368062.0
2718  Claray Drive,2895000,27827.0,RE15-1-H-RPD-HCR,15000.0,1.8551333333333333,1560535.0
20711  Collins Street,990000,27823.0,RS-1,7500.0,3.7097333333333333,266866.0
1408  Calle Del Jonella,3495000,27778.0,RE20-1-H,20000.0,1.3889,2516380.0
2111  Rimcrest Drive,4495000,27754.0,Outside LA (No Zoning),0.0,,
324 E Plymouth Street,600000,27748.0,Outside LA (No Zoning),0.0,,
3210  Coldwater Canyon Lane,4550000,27746.0,RE40-1-H,40000.0,0.69365,6559504.0
1256 N Topanga Canyon Boulevard,1768000,27741.0,Outside LA (No Zoning),0.0,,
17832  Little Tujunga Canyon Road,899900,27717.0,Outside LA (No Zoning),0.0,,
